Date,Close,High,Low,Open,Volume,log_return,volatility_21d,volatility_annualized
2021-11-29,7110.0,7161.89990234375,7044.0,7044.0,945061900,0.009326053181189864,0.009537658304386298,0.15140563177989677
2021-11-30,7059.5,7110.0,6989.7001953125,7110.0,1459578100,-0.007128016347706769,0.009453402900492293,0.15006811870799575
2021-12-01,7168.7001953125,7182.0,7059.39990234375,7059.5,779578300,0.01535012693230199,0.010143133949635109,0.1610172596733051
2021-12-02,7129.2001953125,7168.7001953125,7083.2001953125,7168.7001953125,724509800,-0.005525300836054678,0.010179755429543564,0.16159860764419062
2021-12-03,7122.2998046875,7196.10009765625,7105.2998046875,7129.2001953125,867111100,-0.0009683740187679328,0.010113524026556419,0.1605472167164693
2021-12-06,7232.2998046875,7246.2998046875,7122.2998046875,7122.2998046875,637274000,0.015326397979884887,0.01069536963103347,0.16978372934176328
2021-12-07,7339.89990234375,7344.7001953125,7232.2998046875,7232.2998046875,783615400,0.014768127725760635,0.011200269798677625,0.1777987710247708
2021-12-08,7337.39990234375,7378.89990234375,7333.60009765625,7339.89990234375,776663000,-0.0003406621187063986,0.011166272185219879,0.1772590756424974
2021-12-09,7321.2998046875,7366.10009765625,7303.0,7337.10009765625,615185100,-0.002196661975760727,0.010999382440935339,0.17460978308403308
2021-12-10,7291.7998046875,7331.60009765625,7284.7998046875,7321.2998046875,533854300,-0.004037478818652976,0.010938640104912273,0.17364552839301214
2021-12-13,7231.39990234375,7309.2001953125,7226.60009765625,7291.7998046875,1173948800,-0.008317760795568726,0.011030330936040961,0.17510107521304014
2021-12-14,7218.60009765625,7284.5,7218.60009765625,7231.39990234375,662325900,-0.0017715997280625985,0.011028205039998122,0.17506732765958496
2021-12-15,7170.7998046875,7224.89990234375,7166.7998046875,7218.60009765625,813609300,-0.006643844652468381,0.01108802931595119,0.17601700859880287
2021-12-16,7260.60009765625,7273.2998046875,7170.7998046875,7170.7998046875,1155236100,0.012445286338739188,0.011425963306814424,0.181381544395081
